cust,date,tpv,cnt
1655235865587369459,05-04-2015,154.8,2
2055837647742355709,29-12-2014,80.0,1
1465549809079966575,08-11-2013,12.0,1
1249605549739422399,19-09-2013,0.0,0
1656611917829091064,19-07-2013,45.9,1
1660420608478869237,05-12-2014,274.8,1
1927174403388170694,27-08-2015,8.2,1
1180730870854564788,13-02-2014,6.3,1
2151950699923043478,02-07-2013,94.9,1
2266730327487311075,29-04-2014,16.0,1
2283662078832292940,24-07-2014,21.0,1
1410072900167484967,21-05-2014,64.0,1
2160685826074502427,15-07-2014,2.6,1
2248118749109208065,19-11-2014,350.0,1
1258487148695974190,08-10-2013,42.5,1
1991782673627123856,22-02-2015,12.8,2
2044041757509157112,14-01-2014,78.2,1
2216416277219034176,03-10-2014,10.0,1
